company_name,record_type,entity_type,stage,priority,status,days_since_last_contact,days_until_event,overdue_count,related_count,score,label
Jukuna Associates,meeting,deal,P2,Low,scheduled,2,0,2,2,23.33,Low
NATIONAL DESIGNER DISPLAY SYATEM,followup,deal,P2,Medium,pending,17,0,3,2,32.83,High
Pratyush Enterprises,meeting,deal,P2,Low,scheduled,10,0,1,3,24.67,Low
Crista associates,followup,deal,P2,Low,pending,12,0,0,3,25,Medium
S K ARTS,followup,deal,P2,Low,pending,9,0,2,1,24.5,Low
LORENZ IMAGING,followup,lead,P2,Medium,pending,19,0,1,5,30.17,Medium
Turner & Townsend,followup,deal,P2,Low,pending,6,0,2,1,24,Low
Outlook Advertising,followup,deal,P2,Medium,pending,36,0,3,3,38,High
GLOW SIGN,meeting,lead,P2,Medium,scheduled,3,0,2,3,23.5,Low
CUSTOM WRAPS INDIA PRIVATE LIMITED,followup,deal,P2,Low,pending,6,0,1,3,26,Medium
CMYK Grapahics,followup,deal,P2,High,pending,60,0,3,3,45,High
Healthy Fabrication,meeting,deal,P2,Medium,scheduled,35,0,3,2,33.83,High
Creative Concepts Mumbai,followup,lead,P2,High,pending,8,0,1,4,29.33,Medium
Options Sign Media,meeting,deal,P2,Medium,scheduled,33,0,3,5,39.5,High
SRI SAI ENTERPRISES,meeting,lead,P2,Low,scheduled,13,0,1,4,22.17,Low
Kalpvrux,meeting,deal,P2,Medium,scheduled,39,0,2,4,36.5,High
Sign Solution,meeting,lead,P2,Medium,scheduled,33,0,2,1,24.5,Low
Harsh enterprise,followup,lead,P2,High,pending,49,0,4,0,34.17,High
Things work,meeting,lead,P2,Medium,scheduled,13,0,0,2,19.17,Low
Golden Arts Wall Printing,meeting,deal,P2,High,scheduled,20,0,2,3,34.33,High
SK Digital Signs,followup,lead,P2,Low,pending,0,0,1,1,16,Low
ALPHATEC  IT SOLUTIONS,meeting,deal,P2,Low,scheduled,4,0,0,1,17.67,Low
SURDEEP ENT.,followup,deal,P2,High,pending,52,0,5,2,45.67,High
Ranjeet Signage Solution,followup,deal,P2,Medium,pending,27,0,2,5,38.5,High
N S Signs,followup,deal,P2,High,pending,39,0,3,4,43.5,High
Umang Communications Pvt Ltd,followup,deal,P2,Medium,pending,17,0,1,2,28.83,Medium
SK Digital Signs,meeting,lead,P2,Low,scheduled,12,0,1,0,14,Low
Skill Fest Creators,meeting,deal,P2,Medium,scheduled,26,0,1,2,28.33,Medium
Jai Krishna Enterprises,followup,lead,P2,Medium,pending,23,0,4,3,32.83,High
Inizio Sign Systems Pvt Ltd,meeting,deal,P2,Low,scheduled,0,0,0,2,19,Low
AUTOLITE EMERGENCY LIGHTING SYSTEM LLP.,followup,deal,P2,Low,pending,50,0,3,4,39.33,High
Signaletics,meeting,deal,P2,Low,scheduled,2,0,1,2,21.33,Low
PURE PAPER SOLUTIONS,followup,lead,P2,Low,pending,4,0,1,3,20.67,Low
Shri Mahalaxmi Associats.,followup,deal,P2,High,pending,48,0,4,3,45,High
Shanti Acrylic,meeting,lead,P2,High,scheduled,47,0,5,4,41.83,High
